"femaDeclarationString","disasterNumber","state","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate","tribalRequest","fipsStateCode","fipsCountyCode","placeCode","designatedArea","declarationRequestNumber","lastIAFilingDate","lastRefresh","hash","id","latitude","longitude","declarationYear","declarationMonth"
"FM-5430-NM",5430,"NM","FM","2022-04-11T00:00:00.000Z",2022,"Fire","BIG HOLE FIRE",0,0,1,1,"2022-04-11T00:00:00.000Z","","",0,35,61,99061,"Valencia (County)",22027,"","2023-05-22T03:41:22.800Z","72e359775509cd02fcf30928d48b61d82b859b0c","c9f1b818-681c-4eab-8f2c-01ebbbecb839",34.6743674,-106.6291304,2022,4
"FM-5429-TX",5429,"TX","FM","2022-03-20T00:00:00.000Z",2022,"Fire","BIG L FIRE",0,0,1,1,"2022-03-20T00:00:00.000Z","2022-03-30T00:00:00.000Z","",0,48,221,99221,"Hood (County)",22024,"","2023-05-22T03:41:22.800Z","4027b9ab49a82434d1ea588930a5e8f6790ab44f","2fb2d63c-74a5-4ff4-98a2-3fbc824c759a",32.4296296,-97.8286368,2022,3
"FM-5428-TX",5428,"TX","FM","2022-03-18T00:00:00.000Z",2022,"Fire","WHEAT FIELD FIRE",0,0,1,1,"2022-03-17T00:00:00.000Z","2022-03-30T00:00:00.000Z","",0,48,133,99133,"Eastland (County)",22023,"","2023-05-22T03:41:22.800Z","dfd8022b015faf12b99a52c8251e454c9838a725","0de32917-f8c6-4f34-9cd1-75f1ce9a9a3d",32.3240465,-98.7481167,2022,3
"DR-4738-GA",4738,"GA","DR","2023-09-07T00:00:00.000Z",2023,"Hurricane","HURRICANE IDALIA",0,0,1,1,"2023-08-30T00:00:00.000Z","2023-08-30T00:00:00.000Z","",0,13,283,99283,"Treutlen (County)",23119,"2023-11-06T00:00:00.000Z","2023-10-02T22:41:17.241Z","36701c15b95ae6d601e9cce3c711d44cc7f5768f","13b7185d-4f3b-487e-b23b-8c58f2a71d99",32.3870233,-82.5834947,2023,9
"FM-5426-FL",5426,"FL","FM","2022-03-06T00:00:00.000Z",2022,"Fire","CHIPOLA FIRE COMPLEX",0,0,1,1,"2022-03-04T00:00:00.000Z","2022-04-01T00:00:00.000Z","",0,12,5,99005,"Bay (County)",22016,"","2023-05-22T03:41:22.800Z","0209843daa35685a207574453a2332cadc156423","e6dbb658-83b5-4a9d-93df-8c986fc2c71c",30.1805306,-85.684578,2022,3
"FM-5426-FL",5426,"FL","FM","2022-03-06T00:00:00.000Z",2022,"Fire","CHIPOLA FIRE COMPLEX",0,0,1,1,"2022-03-04T00:00:00.000Z","2022-04-01T00:00:00.000Z","",0,12,13,99013,"Calhoun (County)",22016,"","2023-05-22T03:41:22.800Z","c27fbfd6162075a889a080f639fadd7ced8f959a","7b122ad1-2984-4865-8c61-79d2e78875c0",30.3475302,-85.1894045,2022,3
"FM-5425-KS",5425,"KS","FM","2022-03-05T00:00:00.000Z",2022,"Fire","COTTONWOOD FIRE COMPLEX",0,0,1,1,"2022-03-05T00:00:00.000Z","","",0,20,79,99079,"Harvey (County)",22015,"","2023-05-22T03:41:22.800Z","db528618f31310e7eef3dcd25c99c766d9ba6613","11e15080-e1c2-4e5d-bdb1-2cea746b074a",38.0025215,-97.3516558,2022,3
"FM-5425-KS",5425,"KS","FM","2022-03-05T00:00:00.000Z",2022,"Fire","COTTONWOOD FIRE COMPLEX",0,0,1,1,"2022-03-05T00:00:00.000Z","","",0,20,155,99155,"Reno (County)",22015,"","2023-05-22T03:41:22.800Z","dbaa98935f078219115773db1724170682633201","65c8bf1f-8769-4392-b02c-2952c0157224",37.9569553,-98.0465185,2022,3
"FM-5424-FL",5424,"FL","FM","2022-03-04T00:00:00.000Z",2022,"Fire","1707 ADKINS AVE FIRE",0,0,1,1,"2022-03-04T00:00:00.000Z","2022-04-01T00:00:00.000Z","2022-12-15T00:00:00.000Z",0,12,5,99005,"Bay (County)",22014,"","2023-05-22T03:41:22.800Z","20213cd6aec62b9903a451c66e1f3f522893969b","8dae1b79-6a89-492b-9fc1-13d5989c3567",30.1805306,-85.684578,2022,3
"FM-5423-CO",5423,"CO","FM","2021-12-30T00:00:00.000Z",2022,"Fire","MARSHALL FIRE",0,0,1,1,"2021-12-30T00:00:00.000Z","","",0,8,13,99013,"Boulder (County)",21132,"","2023-05-22T03:41:22.800Z","b99204c49413f11f39e5be82e6c5c4fc1bf5356b","680fd661-4767-4308-aebd-75db978b6ba7",40.1512114,-105.5005483,2021,12
